location,source,target,id,fuzzy,context,translator_comments,developer_comments
,weeping willow (Salix babylonica),weeping willow (Salix babylonica),,False,Myaamia ETHNOBOTANICAL DATABASE,,
,"East, sunrise","East, sunrise",,False,,,
,From the east,From the east,,False,,,
,Warm oneself,Warm oneself,,False,,,
,Towards the east,Towards the east,,False,,,
,cook it,cook it,,False,,,aalimiihtoo- (It verb) cook it
,"en,English language","en,English language",,False,,,
,Miami,Miami,,False,,,
,"yes, okay, affirmative, you're welcome","yes, okay, affirmative, you're welcome",,False,"yes, okay, affirmative, you're welcome",,
,"Yes,okay,, affirmative, you're welcome","Yes,okay,, affirmative, you're welcome",,False,(interj),,
,"yes, ok, sure","yes, ok, sure",,False,"interj, Feminine",,
,Friend (of the same sex),Friend (of the same sex),,False,,,Friend (of the same sex) -iihkaan- [ root stem ]
,Friend!,Friend!,,False,,,
,Hello friend,Hello friend,,False,,,
,Friends!,Friends!,,False,,,Friends! interjective form
,My friend,My friend,,False,,,
,"just, also, recently, wait, hold on!","just, also, recently, wait, hold on!",,False,kiint-,,
,Katydid,Katydid,,False,kaahkaahki-,,
,Kaskaskia people,Kaskaskia people,,False,kaahkaahki-,,
,"Clean him (as of fish, game, etc)","Clean him (as of fish, game, etc)",,False,kaahkahw-,,
,Clean him,Clean him,,False,kaahkahw-,,
,"I clean him ,or her (as of fish, game, etc)","I clean him ,or her (as of fish, game, etc)",,False,kaahkahw-,,
,day,day,,False,kaahkiihkw-1,,
,Today,Today,,False,kaahkiihkw-,,
,day,day,,False,kaahkiihkw-,,
,Shave one's skin,Shave one's skin,,False,kaahkilookii-,,
,We shave our skin!,We shave our skin!,,False,kaahkilookii-,,
,I shave my skin	,I shave my skin	,,False,kaahkilookii-,,
,You shave your skin,You shave your skin,,False,kaahkilookii-,,
,You shave your skin,You shave your skin,,False,kaahkilookii-1,,
,Glossary,Glossary,,False,Glossary,,
,"no,not","no,not",,False,moohci,,
,It comes to the surface quickly,It comes to the surface quickly,,False,moohkihsee-,,
,It comes to the surface quickly,It comes to the surface quickly,,False,moohkihsee-2,,
,It comes to the surface quickly,It comes to the surface quickly,,False,moohkihsee-1,,
,It is flooded,It is flooded,,False,moohkihsen-,,
,It is flooded,It is flooded,,False,moohkihsen-1,,
,It is flooded,It is flooded,,False,moohkihsen-2,,
,"Surface, emerge","Surface, emerge",,False,moohkii-,,
,I emerged,I emerged,,False,moohkii-,,
,You emerge,You emerge,,False,moohkii-,,
,We emerge,We emerge,,False,,,
,You emerge,You emerge,,False,moohkii-1,,
,weeping willow,weeping willow,,False,weeping willow tree (Salix babylonica),,root suffix sinular/pluraral forms
,"weeping willow trees, weeping willows","weeping willow trees, weeping willows",,False,weeping willow trees,,
,"shitface, People of Des Moines","shitface, People of Des Moines",,False,"shitface, slur",,
,I said no,I said no,,False,,,
,we welcome you!,we welcome you!,,False,,,
,"Yes, it is correct","Yes, it is correct",,False,,,
,you're welcome,you're welcome,,False,,,
,not,not,,False,moohci,,
,no,no,,False,moohci,,
,"1,one","1,one",,False,nkoti 1,,"the nuber 1,,,"
,Thank you,Thank you,,False,,,
,"Miami, Irenwee, Peoria","Miami, Irenwee, Peoria",,False,Myaamia,,
,Thank you friend,Thank you friend,,False,neewe niihka	Thank you friend (of the same sex),,
,"Thank you very much, big thanks","Thank you very much, big thanks",,False,"mihši neewe	Thank you very much, big thanks",,
,We! emerge,We! emerge,,False,moohkii-,,
,"2,two","2,two",,False,niišwi 2,,
,"Take him along, lead him","Take him along, lead him",,False,awal-,,
,"Let's take him along!,lead him","Let's take him along!,lead him",,False,Let's take him along!,,
,"Language codes ISO 639-3 mia, Miami","Language codes ISO 639-3 mia, Miami",,False,Language codes ISO	ISO 639-3	mia	ISO 639-3	mia,,
,glottolog : miam1252,glottolog : miam1252,,False,metadata,,
,Welcome to the Myaamia-Peewaalia dictionary,Welcome to the Myaamia-Peewaalia dictionary,,False,ILDA Website,,
,"English,En","English,En",,False,,,
,"3,three","3,three",,False,,,
,"5,five","5,five",,False,numbers,,
,"6,six","6,six",,False,numbers,,
,It is flooded,It is flooded,,False,,,
,(10;s delimenter) ,(10;s delimenter) ,,False,'-aasi',,
,"4,four","4,four",,False,akincikoona,,
,"7,seven","7,seven",,False,numbers,,
,"num, numerals, numbers","num, numerals, numbers",,False,"akincikoona (num) numerals, numbers",,
,"8,Eight","8,Eight",,False,numbers,,
,"9,nine","9,nine",,False,numbers,,
,"10,ten","10,ten",,False,numbers,,
,"11,eleven","11,eleven",,False,numbers,,
,12,12,,False,,,"mataathswi niišwaasi	Twelve, 12"
,20,20,,False,numbers,,
,"Thirty five, 35","Thirty five, 35",,False,numbers,,
,"One hundred, 100","One hundred, 100",,False,numbers,,
,"Be so big, so large, of a certain size","Be so big, so large, of a certain size",,False,ilekili-,,
,Say to each other,Say to each other,,False,iletii-,,
,"I lift him,I lift her up","I lift him,I lift her up",,False,ampen-,,
,River,River,,False,siipiiw,,
,Imagination,Imagination,,False,neemawiteeheeyon-,,
,"I imitate, mimic him, mimic her","I imitate, mimic him, mimic her",,False,alohtaw-,,
,I will come right away.,I will come right away.,,False,šaawe,,
,In deep water,In deep water,,False,kinoonk-,,
,She is in deep water,She is in deep water,,False,kinoonk-,,
,I am going to Indianapolis,I am going to Indianapolis,,False,ceenkwihtanonki,,
,I am coming from Indianapolis,I am coming from Indianapolis,,False,ceenkwihtanonki,,
,"Indian turnip, Jack-in-the-pulpit ","Indian turnip, Jack-in-the-pulpit ",,False,wiihkapesi-,,
,"Indian turnips, Jack-in-the-pulpits","Indian turnips, Jack-in-the-pulpits",,False,wiihkapesi-,,
,"Infant, baby","Infant, baby",,False,piloohseens-,,
,"Infants, babies","Infants, babies",,False,piloohseens-,,
,He won't come,He won't come,,False,inko,,
,He won't get up,He won't get up,,False,inko,,
,I won't fail the test,I won't fail the test,,False,inko,,
,"Instead of, only, rather than, except for","Instead of, only, rather than, except for",,False,teehš-,,
,Only I can do this,Only I can do this,,False,teehš-,,
,I only have one,I only have one,,False,teehš-,,
,"just, also, recently, wait, hold on!","just, also, recently, wait, hold on!",,False,kiint-1,,
,I just woke up,I just woke up,,False,Example Sentences,,
,Hold on! I am coming now,Hold on! I am coming now,,False,Example Sentences,,
,Mississippi River,Mississippi River,,False,,,
,glossary,glossary,,False,glossary,,
,English,English,,False,,,aakalaahšimaataweenki
,"Young woman,maiden","Young woman,maiden",,False,ahkweehs-,,
,"Young woman,maiden","Young woman,maiden",,False,ahkweehs-1,,
,"Young women,maiden","Young women,maiden",,False,ahkweehs-,,
,"It goes out of a fire, It goes out of or light","It goes out of a fire, It goes out of or light",,False,aahtee-,,
,"It is extinguished, gone out","It is extinguished, gone out",,False,aahtee-,,
,"It is extinguished, gone out","It is extinguished, gone out",,False,aathee-,,
,Is it out?,Is it out?,,False,aahtee-,,
,"That's it, it's over with, it's done","That's it, it's over with, it's done",,False,aahtee-,,
,"Its not over, still more to do, still an issue","Its not over, still more to do, still an issue",,False,aahtee-,,
,"Turn off the light, extinguish it","Turn off the light, extinguish it",,False,aahteeleentam-,,
,Smear dirt on it,Smear dirt on it,,False,ašiihkionam-,,
,Neck,Neck,,False,'-hkweekan-',,'-hkweekan- (n.inan.dep) Neck'
,I am Miami,I am Miami,,False,,,
,The Miami people,The Miami people,,False,,,
,We are Miami,We are Miami,,False,,,
,"Miami homelands, the place of the Miamis","Miami homelands, the place of the Miamis",,False,,,
,Miami homelands along the Wabash River (Indiana)	,Miami homelands along the Wabash River (Indiana)	,,False,,,
,Miami homelands along the Marais des Cygnes River (Kansas),Miami homelands along the Marais des Cygnes River (Kansas),,False,,,
,Miami homelands along the Neosho River (Oklahoma),Miami homelands along the Neosho River (Oklahoma),,False,,,
,"We are strong, we are resilient, we are Myaamia","We are strong, we are resilient, we are Myaamia",,False,,,
,I am going to the Miami homelands (Oklahoma) next week,I am going to the Miami homelands (Oklahoma) next week,,False,,,
,Miami woman,Miami woman,,False,myaamiihkwi-,,
,Miami woman,Miami woman,,False,myaamiihkwi-1,,
,Miami women,Miami women,,False,myaamiihkwi-,,
,Microscope,Microscope,,False,meehšaapantaakan-,,
,Microscopes,Microscopes,,False,meehšaapantaakan-,,
,"Middle-aged, older man","Middle-aged, older man",,False,nakaanakw-,,
,"Middle-aged, older men","Middle-aged, older men",,False,nakaanakw-,,
,Painted terrapin turtle (Chrysemys spp.),Painted terrapin turtle (Chrysemys spp.),,False,mihšihkinaahkw-,,
,Painted terrapin turtles,Painted terrapin turtles,,False,mihšihkinaahkw-,,
,"University, college","University, college",,False,mihši-nipwaantiikaan-,,
,"Universities, colleges","Universities, colleges",,False,mihši-nipwaantiikaan-,,
,Miami University,Miami University,,False,mihši-nipwaantiikaan-,,
