location,source,target,id,fuzzy,context,translator_comments,developer_comments
,weeping willow (Salix babylonica),niipyaahkatw-,,False,Myaamia ETHNOBOTANICAL DATABASE,,
,"East, sunrise","East, sunrise",,False,,,
,From the east,From the east,,False,,,
,Warm oneself,awansi-,,False,,,
,Towards the east,awansaapiciši,,False,,,
,cook it,cook it,,False,,,aalimiihtoo- (It verb) cook it
,"en,English language","en,English language",,False,,,
,Miami,Myaamia,,False,,,
,"yes, okay, affirmative, you're welcome",iihia,,False,"yes, okay, affirmative, you're welcome",,
,"Yes,okay,, affirmative, you're welcome","Yes,okay,, affirmative, you're welcome",,False,(interj),,
,"yes, ok, sure",naaka,,False,"interj, Feminine",,
,Friend (of the same sex),Friend (of the same sex),,False,,,Friend (of the same sex) -iihkaan- [ root stem ]
,Friend!,niihka,,False,,,
,Hello friend,Hello friend,,False,,,
,Friends!,Friends!,,False,,,Friends! interjective form
,My friend,niihkaana,,False,,,
,"just, also, recently, wait, hold on!",kiinte,,False,kiint-,,
,Katydid,kaahkaahki-,,False,kaahkaahki-,,
,Kaskaskia people,kaahkaahkiaki,,False,kaahkaahki-,,
,"Clean him (as of fish, game, etc)","Clean him (as of fish, game, etc)",,False,kaahkahw-,,
,Clean him,Clean him,,False,kaahkahw-,,
,"I clean him ,or her (as of fish, game, etc)","I clean him ,or her (as of fish, game, etc)",,False,kaahkahw-,,
,day,day,,False,kaahkiihkw-1,,
,Today,noonki kaahkiihkwe,,False,kaahkiihkw-,,
,day,day,,False,kaahkiihkw-,,
,Shave one's skin,kaahkilookii-,,False,kaahkilookii-,,
,We shave our skin!,kaahkilookiaanki,,False,kaahkilookii-,,
,I shave my skin	,kaahkilookiaani	,,False,kaahkilookii-,,
,You shave your skin,kaahkilookiiyani,,False,kaahkilookii-,,
,You shave your skin,kaahkilookiiyiikwi,,False,kaahkilookii-1,,
,Glossary,Glossary,,False,Glossary,,
,"no,not",moohci,,False,moohci,,
,It comes to the surface quickly,It comes to the surface quickly,,False,moohkihsee-,,
,It comes to the surface quickly,moohkhseewi,,False,moohkihsee-2,,
,It comes to the surface quickly,moohkhseeki,,False,moohkihsee-1,,
,It is flooded,moohkihsen-,,False,moohkihsen-,,
,It is flooded,moohkhsenki,,False,moohkihsen-1,,
,It is flooded,moohkhsenwi,,False,moohkihsen-2,,
,"Surface, emerge",moohkii-,,False,moohkii-,,
,I emerged,moohkiaani,,False,moohkii-,,
,You emerge,moohkiiyani,,False,moohkii-,,
,We emerge,moohkiiyankwi,,False,,,
,You emerge,moohkiiyiikwi,,False,moohkii-1,,
,weeping willow,niipyaahkatwi,,False,weeping willow tree (Salix babylonica),,root suffix sinular/pluraral forms
,"weeping willow trees, weeping willows",niipyaahkatwa,,False,weeping willow trees,,
,"shitface, People of Des Moines","shitface, People of Des Moines",,False,"shitface, slur",,
,I said no,moohci noonk,,False,,,
,we welcome you!,meentitohkaalilaanki,,False,,,
,"Yes, it is correct","iihia, eelaamweekaneewiki",,False,,,
,you're welcome,iihia,,False,,,
,not,moohci,,False,moohci,,
,no,moohci,,False,moohci,,
,"1,one",nkoti,,False,nkoti 1,,"the nuber 1,,,"
,Thank you,neewe,,False,,,
,"Miami, Irenwee, Peoria","Myaamia, Irenwe.Peoria",,False,Myaamia,,
,Thank you friend,neewe niihka,,False,neewe niihka	Thank you friend (of the same sex),,
,"Thank you very much, big thanks",mihši neewe,,False,"mihši neewe	Thank you very much, big thanks",,
,We! emerge,moohkiaanki,,False,moohkii-,,
,"2,two",niišwi,,False,niišwi 2,,
,"Take him along, lead him",awal-,,False,awal-,,
,"Let's take him along!,lead him",awal-,,False,Let's take him along!,,
,"Language codes ISO 639-3 mia, Miami","Language codes ISO 639-3 mia, Miami",,False,Language codes ISO	ISO 639-3	mia	ISO 639-3	mia,,
,glottolog : miam1252,glottolog : miam1252,,False,metadata,,
,Welcome to the Myaamia-Peewaalia dictionary,Welcome to the Myaamia-Peewaalia dictionary,,False,ILDA Website,,
,"English,En",aakalaahšimaataweenki,,False,,,
,"3,three","3,three",,False,,,
,"5,five","5,five",,False,numbers,,
,"6,six","6,six",,False,numbers,,
,It is flooded,It is flooded,,False,,,
,(10;s delimenter) ,'-aasi ',,False,'-aasi',,
,"4,four","4,four",,False,akincikoona,,
,"7,seven","7,seven",,False,numbers,,
,"num, numerals, numbers",akincikoona,,False,"akincikoona (num) numerals, numbers",,
,"8,Eight","8,Eight",,False,numbers,,
,"9,nine","9,nine",,False,numbers,,
,"10,ten","10,ten",,False,numbers,,
,"11,eleven","11,eleven",,False,numbers,,
,12,12,,False,,,"mataathswi niišwaasi	Twelve, 12"
,20,20,,False,numbers,,
,"Thirty five, 35",nihswi mateeni yaalanwaasi,,False,numbers,,
,"One hundred, 100",nkotwaahkwe,,False,numbers,,
,"Be so big, so large, of a certain size","Be so big, so large, of a certain size",,False,ilekili-,,
,Say to each other,Say to each other,,False,iletii-,,
,"I lift him,I lift her up","I lift him,I lift her up",,False,ampen-,,
,River,siipiiw,,False,siipiiw,,
,Imagination,neemawiteeheeyoni,,False,neemawiteeheeyon-,,
,"I imitate, mimic him, mimic her","I imitate, mimic him, mimic her",,False,alohtaw-,,
,I will come right away.,šaawe kati pyaayaani,,False,šaawe,,
,In deep water,kinoonke,,False,kinoonk-,,
,She is in deep water,kinoonke eepici,,False,kinoonk-,,
,I am going to Indianapolis,ceenkwhtanonkiši iiyaayaani,,False,ceenkwihtanonki,,
,I am coming from Indianapolis,ceenkwhtanonkonci pyaayaani,,False,ceenkwihtanonki,,
,"Indian turnip, Jack-in-the-pulpit ",wiihkapesia ,,False,wiihkapesi-,,
,"Indian turnips, Jack-in-the-pulpits",wiihkapesiaki,,False,wiihkapesi-,,
,"Infant, baby",piloohseensa,,False,piloohseens-,,
,"Infants, babies",piloohseensaki,,False,piloohseens-,,
,He won't come,He won't come,,False,inko,,
,He won't get up,He won't get up,,False,inko,,
,I won't fail the test,inko-hka aalweeliaani kocihtamaakani,,False,inko,,
,"Instead of, only, rather than, except for",teehši,,False,teehš-,,
,Only I can do this,niilaahka teehši niiši iišileniaani,,False,teehš-,,
,I only have one,teehši nkoti,,False,teehš-,,
,"just, also, recently, wait, hold on!",jkiint-,,False,kiint-1,,
,I just woke up,kiinte eemamwiaani,,False,Example Sentences,,
,Hold on! I am coming now,kiinte! noonki pyaayaani,,False,Example Sentences,,
,Mississippi River,Mississippi River,,False,,,
,glossary,glossary,,False,glossary,,
,English,English,,False,,,aakalaahšimaataweenki
,"Young woman,maiden","Young woman,maiden",,False,ahkweehs-,,
,"Young woman,maiden","Young woman,maiden",,False,ahkweehs-1,,
,"Young women,maiden","Young women,maiden",,False,ahkweehs-,,
,"It goes out of a fire, It goes out of or light","It goes out of a fire, It goes out of or light",,False,aahtee-,,
,"It is extinguished, gone out","It is extinguished, gone out",,False,aahtee-,,
,"It is extinguished, gone out","It is extinguished, gone out",,False,aathee-,,
,Is it out?,Is it out?,,False,aahtee-,,
,"That's it, it's over with, it's done","That's it, it's over with, it's done",,False,aahtee-,,
,"Its not over, still more to do, still an issue","Its not over, still more to do, still an issue",,False,aahtee-,,
,"Turn off the light, extinguish it","Turn off the light, extinguish it",,False,aahteeleentam-,,
,Smear dirt on it,Smear dirt on it,,False,ašiihkionam-,,
,Neck,Neck,,False,'-hkweekan-',,'-hkweekan- (n.inan.dep) Neck'
,I am Miami,I am Miami,,False,,,
,The Miami people,The Miami people,,False,,,
,We are Miami,We are Miami,,False,,,
,"Miami homelands, the place of the Miamis","Miami homelands, the place of the Miamis",,False,,,
,Miami homelands along the Wabash River (Indiana)	,Miami homelands along the Wabash River (Indiana)	,,False,,,
,Miami homelands along the Marais des Cygnes River (Kansas),Miami homelands along the Marais des Cygnes River (Kansas),,False,,,
,Miami homelands along the Neosho River (Oklahoma),Miami homelands along the Neosho River (Oklahoma),,False,,,
,"We are strong, we are resilient, we are Myaamia","We are strong, we are resilient, we are Myaamia",,False,,,
,I am going to the Miami homelands (Oklahoma) next week,I am going to the Miami homelands (Oklahoma) next week,,False,,,
,Miami woman,Miami woman,,False,myaamiihkwi-,,
,Miami woman,Miami woman,,False,myaamiihkwi-1,,
,Miami women,Miami women,,False,myaamiihkwi-,,
,Microscope,Microscope,,False,meehšaapantaakan-,,
,Microscopes,Microscopes,,False,meehšaapantaakan-,,
,"Middle-aged, older man","Middle-aged, older man",,False,nakaanakw-,,
