"#name","numbers.pot"
"""""",""""""
"""1""","""nkoti"""
"""2""","""niišwi"""
"""3""","""nihswi"""
"""4""","""niiwi"""
"""5""","""yaalanwi"""
"""6""","""kaakaathswi"""
"""7""","""swaahteethswi"""
"""8""","""palaani"""
"""9""","""nkotimeneehki"""
"""10""","""mataathswi moochiaasi"""
"""11""","""mataathswi nkotiaasi"""
"""12""","""mataathswi niišwiaasi"""
"""13""","""mataathswi nihswiaasi"""
"""14""","""mataathswi niiwiaasi"""
"""15""","""mataathswi yaalanwiaasi"""
"""16""","""mataathswi kaakaathswiaasi"""
"""17""","""mataathswi swaahteethswiaasi"""
"""18""","""mataathswi palaaniaasi"""
"""19""","""mataathswi nkotimeneehkiaasi"""
"""20""","""niišwi mateeni """
"""21""","""niišwi mateeni nkoti"""
"""22""","""niišwi mateeni niišwi"""
"""23""","""niišwi mateeni nihswi"""
"""24""","""niišwi mateeni niiwi"""
"""25""","""niišwi mateeni yaalanwi"""
"""26""","""niišwi mateeni kaakaathswi"""
"""27""","""niišwi mateeni swaahteethswi"""
"""28""","""niišwi mateeni palaani"""
"""29""","""niišwi mateeni nkotimeneehki"""
"""30""","""nihswi mateeni """
"""31""","""nihswi mateeni nkoti"""
"""32""","""nihswi mateeni niišwi"""
"""33""","""nihswi mateeni nihswi"""
"""34""","""nihswi mateeni niiwi"""
"""35""","""nihswi mateeni yaalanwi"""
"""36""","""nihswi mateeni kaakaathswi"""
"""37""","""nihswi mateeni swaahteethswi"""
"""38""","""nihswi mateeni palaani"""
"""39""","""nihswi mateeni nkotimeneehki"""
"""40""","""niiwi mateeni """
"""41""","""niiwi mateeni nkoti"""
"""42""","""niiwi mateeni niišwi"""
"""43""","""niiwi mateeni nihswi"""
"""44""","""niiwi mateeni niiwi"""
"""45""","""niiwi mateeni yaalanwi"""
"""46""","""niiwi mateeni kaakaathswi"""
"""47""","""niiwi mateeni swaahteethswi"""
"""48""","""niiwi mateeni palaani"""
"""49""","""niiwi mateeni nkotimeneehki"""
"""50""","""yaalanwi mateeni """
"""51""","""yaalanwi mateeni nkoti"""
"""52""","""yaalanwi mateeni niišwi"""
"""53""","""yaalanwi mateeni nihswi"""
"""54""","""yaalanwi mateeni niiwi"""
"""55""","""yaalanwi mateeni yaalanwi"""
"""56""","""yaalanwi mateeni kaakaathswi"""
"""57""","""yaalanwi mateeni swaahteethswi"""
"""58""","""yaalanwi mateeni palaani"""
"""59""","""yaalanwi mateeni nkotimeneehki"""
"""60""","""kaakaathswi mateeni """
"""61""","""kaakaathswi mateeni nkoti"""
"""62""","""kaakaathswi mateeni niišwi"""
"""63""","""kaakaathswi mateeni nihswi"""
"""64""","""kaakaathswi mateeni niiwi"""
"""65""","""kaakaathswi mateeni yaalanwi"""
"""66""","""kaakaathswi mateeni kaakaathswi"""
"""67""","""kaakaathswi mateeni swaahteethswi"""
"""68""","""kaakaathswi mateeni palaani"""
"""69""","""kaakaathswi mateeni nkotimeneehki"""
"""70""","""swaahteethswi mateeni """
"""71""","""swaahteethswi mateeni nkoti"""
"""72""","""swaahteethswi mateeni niišwi"""
"""73""","""swaahteethswi mateeni nihswi"""
"""74""","""swaahteethswi mateeni niiwi"""
"""75""","""swaahteethswi mateeni yaalanwi"""
"""76""","""swaahteethswi mateeni kaakaathswi"""
"""77""","""swaahteethswi mateeni swaahteethswi"""
"""78""","""swaahteethswi mateeni palaani"""
"""79""","""swaahteethswi mateeni nkotimeneehki"""
"""80""","""palaani mateeni """
"""81""","""palaani mateeni nkoti"""
"""82""","""palaani mateeni niišwi"""
"""83""","""palaani mateeni nihswi"""
"""84""","""palaani mateeni niiwi"""
"""85""","""palaani mateeni yaalanwi"""
"""86""","""palaani mateeni kaakaathswi"""
"""87""","""palaani mateeni swaahteethswi"""
"""88""","""palaani mateeni palaani"""
"""89""","""palaani mateeni nkotimeneehki"""
"""90""","""nkotimeneehki mateeni """
"""91""","""nkotimeneehki mateeni nkoti"""
"""92""","""nkotimeneehki mateeni niišwi"""
"""93""","""nkotimeneehki mateeni nihswi"""
