ID,Source,Target,Note
ilda-13,aacim-,"Talk about him, say things about him",
ilda-3858,aacimon-,"Speaker, presenter",
ilda-6853,aacimoon-,historical narrative,
ilda-2928,aacimw-,"Council person, elected tribal official",
ilda-1803,aacimwaapii-,"Talk on the phone, be on the internet",
ilda-9134,aacimwahki,land of stories,
ilda-5298,aacimweekaan-,Council House,
ilda-1808,aacimwi-,"Hold council, have a council meeting, relate a story",
ilda-8638,aacimwihtaw-,"Advise him, speak to him about it",
ilda-1813,aahkohkaa-,Exercise,
ilda-1263,aahkohkeelintam-,"Care for it, pay attention to it",
ilda-1818,aahkohkeelintii-,Care for each other,
ilda-8,aahkohkim-,"Command him, be in charge of, give him direction",
ilda-2933,aahkohkinki-,"Boss, supervisor",
ilda-1823,aahkohkinkii-,Be in charge,
ilda-6023,aahkol-,Smoke,
ilda-6028,aahkoleeki šoohkwaakan-,Train,
ilda-423,aahkom-,"Speak angrily to him, speak to him in an angry voice",
ilda-1828,aahkonkii-,"Speak angrily, speak in an angry voice",
ilda-8013,aahkopihkwee-,"Urinate, pee intensely",
ilda-1833,aahkosi-,"Be angry, quarrelsome, mad",
ilda-428,aahkosih-,"Make him angry, mad",
ilda-3863,aahkoti-,"Punk, fungus (Fomes fomentarius), tinder (for starting fire)",
ilda-10310,aahkwaahkeelintam-,"Be lazy about it, negligent about it",
ilda-433,aahkwaapahw-,"Make him dream, cause him to dream",
ilda-1838,aahkwaapawaa-,Dream,
ilda-438,aahkwaapawaal-,Dream of him,
ilda-10315,aahkwat-,"be important, difficult",
ilda-12797,aahkwihsen-,"it is difficult to use, in a problematic condition",
ilda-6033,aahkwiteeheeyon-,Sullenness,
ilda-9974,aahpitesi-,"Go onward, continue",
ilda-1843,aahpitohsee-,"Walk on, keep moving along",
ilda-13500,aahsamaalakiinkwee-,Look to the side,
ilda-1848,aahsamihšin-,Lie on one's back,
ilda-1853,aahsansi-,"Bask in the sun, sunbathe",
ilda-23,aahsantee-,"It is sunny, the sun shines",
ilda-7193,aahsanteepakw-,Grape (Vitis spp.),
ilda-6038,aahsanteepakwaapow-,"Wine, grape juice",
ilda-28,aahtee-,It goes out (of a fire or light),
ilda-7743,aahteeleentam-,"Turn off the light, extinguish it",
ilda-8928,aahših-,Set an example,
ilda-3868,aakaawit-,Porcupine,
ilda-8738,aakalaahšim-,"Englishman, British Person",
ilda-8808,aakalaahšima paaskoonti-,Soccer,
ilda-7733,aakalaahšimaatawee-,Speak english,
ilda-7728,aakalaahšimaataweenk-,English language,
ilda-3873,aakooti-,Soft shelled turtle (Apalone spinifera),
ilda-8128,aakwaahkw-,"Behind, under, on the other side of",
ilda-6043,aalaahšion-,Long hunt,
ilda-1863,aalaankwaapanti-,"Appear tired, look tired",
ilda-1868,aalaankwee-,"Be tired, exhausted",
ilda-1873,aalaapi-,"Look in a particular direction, observe",
ilda-6048,aalahkwaahkamoon-,Umbrella,
ilda-33,aalahkwat-,It is cloudy,
ilda-5238,aalahkwatw-,Cloud,
ilda-6088,aalakoontaakan-,"Ladder, stairway",
ilda-1268,aalawinam-,Refuse it,
