en-US,mia,pos,description
Hello,Aya,,
yes,iihia,,
you're welcome,iihia,,masculine or neutral
affirmative,iihia,,
yes,naaka,,"yes	naaka	(women only), Feminine"
okay,iihia,,okay	iihia	masculine or neutral
no,moohci,,"no	moohci	moohci (part) No, not"
Nobody,moohci aweeya,,
"No, I cannot","moohci, niiši neehi",,
I said no,moohci iilwiaani,,
Not now,moohci noonki,,
not,moohci,,
welcome,meentitohkaalilaanki,,"welcome	meentitohkaalilaanki	we (excl.) welcome you (pl)
"
"One, 1",nkoti,,1 or one Numerals
two,niišwi,,"Two, 2"
"Three,",nihswi,,"Three, 3"
