myaamia,ipa
ihkipakin-,/ihkiˈpakin/
ilahkiiwi-,/ɪlɑhkiːwiː/
mahkateehsam-,/mahkəˈtɛhsem/
ilaalaantee-,/ɪlɑːlɑ̃ːtʃi/
aacim-,/ahˈkim/
peehkikalol-,/peːkiˈkɑlɔl/
kotantam-,/koˈtɑntɑm/
kiintawikolee-,/kiːnˈtɑwiːkəliː/
kihkihsen-,/kihkɪhsen/
nataweelintam-,/naˈtawilɪntam/
paahpihtoo-,/ˈpæːpihtuː/
miisiikaan-,/ˈmiːsiːkɑn/
ahkaapat-,/ahkɑːpɑt/
aahsamihšin-,/ahh/
mahkateeweekin-,/mahkəˈtiːwiːkiːn/
awansaapi-,/ah/
kapeehšin-,/kaˈpēʃin/
kiiweeliinkwee-,/kiːwiːliːnkweː/
kiiyaahkweepii-,/kiːjɑːkwiːpiː/
kinwaahkosi-,/kiˈnwaːkɔsi/
niihpikiikin-,/niːpiːkiːkiːn/
aahsantee-,/ahsɕəˈnē/
mehšiili-,/ˈmehʃiːli/
oonsaawee-,/ʊnˈsɑːwiː/
noontiohsee-,/nuːnˈtiːʃiː/
paahpaankwi-,/ˈpæːpænkiwi/
paakocii-,/ˈpahkətʃiː/
piihsalet-,/piːhʃaˈlɛt/
pootawee-,/ˈpʊtɔwiː/
piihsihkikamii-,/piːhʃihkiːkiːmiː/
aahtee-,/ah/
saakiiwee-,/ʃaːkiwiː/
akwenkohs-,/əˈkwenkɔs/
sakipitee-,/ʃakiˈpiːtē/
kalaakalaal-,/kaˈlɑːkɑːlɑːl/
aalahkwat-,/ah/
tepehkii-,/teˈpɛkiː/
toopalameekin-,/ˈtʊpɑːmɛkiːn/
waahsaaphtee-,/ʷaːh.sap.tē/
waalihtan-,/ˈwɑːlihtɑn/
waapan-,/ʷaːpɐn/
pišinsikw-,/piʃɪnˈsɪkʷ/
waapi-,/ˈwɑːpɪ/
aalimat-,/ah/
waapikoonahki-,/ʷaːpiˈkoonahki/
waawaapinkwaahkat-,/ʷaːwaːpɪnkwaːʔaht/
wiihkapan-,/ˈwiːhkɑpɑn/
wiihswakintee-,/ˈwiːwsːˈkiːntiː/
wiinkimyaakan-,/ˈwiːnkiːmjaːkan/
wiipinkweekin-,/ˈwiːpɪŋkwiːn/
waapihkilooki-,/ˈwɑːpɪhkɪˈluːki/
aahkosih-,/ahkɔsɪh/
alaakwi-,/əˈlɑːkwi/
aahkwaapawaal-,/ahkwaːpawaːl/
kiihkikaateešw-,/kiːkiːkæːtʃiʃʷ/
aašawil-,/ahʃawil/
aašitehkaw-,/ahʃitehkaw/
alaamihsen-,/əˈlæmihsehn/
ahs-,/əʃ/
ahtel-,/ahˈtɛl/
akwiiyom-,/akwiːjɔm/
alaamihtaw-,/əˈlæmihtɑw/
aleeliih-,/əˈliːliːh/
aloohw-,/əˈloʊw/
alaamweekaneewi-,/əˈlɑːmweːkiːwi/
noohkimin-,/nuːhkiːmin/
amw-,/əmʷ/
aneh-,/ənɛh/
wiikway-,/wiːkwaɪ/
akaayomišaahkw-,/ahkāyōmɪʃahkʷ/
myaalwamiš-,/maːjɑwɑmiʃ/
anseensee-,/ænˈsɪnˈsiː/
saakiiweeyonk-,/ˈsaaːkiːweːʔoŋk/
ahkihkonehs-,/ahkihkɔnɛs/
waalinaakan-,/ʷaːliˈnɑːkan/
atayim-,/ah/
aahkoleeki šoohkwaakan-,/ahkɔleeki/
mahkiikw-,/mahkˈkiːkw/
ciilaweem-,/ʃiːləwim/
anseenseekin-,/ənˈsɛnsiːkiːn/
ciileelim-,/ʃiːliːlim/
ehpenal-,/ehpɛnɑl/
el-,/ɛl/
elaw-,/əˈlɑw/
ešiteeheehpinal-,/ɛʃitihpiːnal/
kaahkahw-,/kaːkɑw/
kakiipiinkweehol-,/kaˈkiːpiːnkweːhɔl/
kihkahw-,/kihkɑw/
apikamitee-,/əˈpikəmɪti/
kihkiinkweehšim-,/kihkˈkiːnkwehʃim/
miišimaah-,/miːʃiˈmɑːh/
kiiših-,/kiːʃih/
kiiweešinaw-,/kiːwiːʃiˈnaw/
awipitee-,/ahwiˈpiːtē/
kiiwikawilotaw-,/kiːwiːkəˈwɪlətɑw/
ooniini,/ʊnɪˈniːni/
kilahkwal-,/kiˈlɑːkwɑl/
acipwi-,/əˈtsipwi/
kitahw-,/kiˈtɑw/
alwasihtoo-,/əlˈwɑːʃiˈtuː/
kitemaakih-,/kiˈtɛmɑːkiʔ/
mooleeliteeheeyaankwee-,/ˈmʊlɛlɪˈtɛhɛjɑː/
maleehpwan-,/maˈliːpwaːn/
awan-,/ah/
kwiilam-,/kiːˈlæm/
kyaaweem-,/kiːˈwɛm/
aahkohkim-,/ahkohkim/
maaciih-,/maːtʃiːh/
maayon-,/maːjɔn/
makil-,/maˈkiːl/
